CTKM_5,Tạo CTKM thành công với đầy đủ thông tin hợp lệ,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
1. Nhấn ""Thêm mới chương trình"".
2. Nhập tên chương trình chưa tồn tại
3. Chọn điều kiện áp dụng
4. Chọn đối tượng áp dụng
5. Nhập thông tin mô tả
6. Nhập ngày bắt đầu hợp lệ: Hôm nay
7. Không tích ""Không cài đặt ngày kết thúc"" → nhập ngày kết thúc > ngày bắt đầu
8. Không tích ""Không cài đặt khung giờ"" → nhập giờ kết thúc > giờ bắt đầu
9. Chọn phân loại khuyến mãi
10. Khai báo phân loại hợp lệ
11. Chọn ít nhất 1 phạm vi áp dụng
12. Nhấn ""Lưu"".",Cao,Thêm mới CTKM,"- Hệ thống lưu thành công, điều hướng về màn hình danh sách.
- CTKM hiển thị trong danh sách với trạng thái Đang diễn ra.
- Mã chương trình đúng format CTKMyymmddOOOO.
- Toast/thông báo thành công xuất hiện.","- Hệ thống lưu thành công, điều hướng về màn hình danh sách.
- CTKM hiển thị trong danh sách với trạng thái Đang diễn ra.
- Mã chương trình đúng format CTKMyymmddOOOO.
- Toast/thông báo thành công xuất hiện.",Pass,,
CTKM_6,"Tạo CTKM bật checkbox ""Không cài đặt ngày kết thúc""",Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
1. Nhấn ""Thêm mới chương trình"".
2. Nhập tên chương trình chưa tồn tại
3. Nhập ngày bắt đầu hợp lệ: Hôm nay
4. Tích checkbox ""Không cài đặt ngày kết thúc"" 
5. Quan sát trường ""Ngày kết thúc"".
6. Không tích ""Không cài đặt khung giờ"" → nhập giờ kết thúc > giờ bắt đầu
7. Chọn phân loại khuyến mãi
8. Khai báo phân loại hợp lệ
9. Chọn ít nhất 1 phạm vi áp dụng
10. Nhấn ""Lưu"".",Cao,Thêm mới CTKM,"- Trường ""Ngày kết thúc"" chuyển sang disabled, không bắt buộc.
- Lưu thành công không yêu cầu nhập ngày kết thúc.
- CTKM không có ngày kết thúc, chạy vô thời hạn cho đến khi dừng thủ công.","- Trường ""Ngày kết thúc"" chuyển sang disabled, không bắt buộc.
- Lưu thành công không yêu cầu nhập ngày kết thúc.
- CTKM không có ngày kết thúc, chạy vô thời hạn cho đến khi dừng thủ công.",Pass,,
CTKM_7,"Tạo CTKM không tích checkbox ""Không cài đặt khung giờ""",Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
1. Nhấn ""Thêm mới chương trình"".
2. Nhập tên chương trình chưa tồn tại
3. Nhập ngày bắt đầu hợp lệ: Hôm nay
4. Tích checkbox ""Không cài đặt ngày kết thúc""
5. Mặc định không tích checkbox ""Không cài đặt khung giờ""
6. Nhập giờ bắt đầu: 08:00 < giờ kết thúc: 20:00.
7. Nhấn ""Lưu"".
8. Chọn phân loại khuyến mãi
9. Khai báo phân loại hợp lệ
10. Chọn ít nhất 1 phạm vi áp dụng
11. Nhấn ""Lưu"".",Trung bình,Thêm mới CTKM,"- Khi active: Giờ bắt đầu/kết thúc cho phép nhập.
- Lưu thành công, CTKM chỉ áp dụng trong khung giờ 08:00–20:00 mỗi ngày.","- Khi active: Giờ bắt đầu/kết thúc cho phép nhập.
- Lưu thành công, CTKM chỉ áp dụng trong khung giờ 08:00–20:00 mỗi ngày.",Pass,,
CTKM_8,Chọn phạm vi áp dụng cấp Bưu điện tỉnh,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
1. Nhấn ""Thêm mới chương trình""
2. Nhập tên chương trình chưa tồn tại
3. Nhập ngày bắt đầu hợp lệ: Hôm nay
4. Tích checkbox ""Không cài đặt ngày kết thúc""
5. Tích checkbox ""Không cài đặt khung giờ""
8. Chọn phân loại khuyến mãi
9. Khai báo phân loại hợp lệ
10. Tại tab Phạm vi áp dụng, chọn Áp dụng cho ""Bưu điện tỉnh"".
11. Tích checkbox một tỉnh (VD: Bắc Kạn)
12. Nhấn ""Lưu""",Trung bình,Thêm mới CTKM/Tab Phạm vi áp dụng,"- Toast/thông báo thành công xuất hiện.
- Hệ thống lưu thành công, điều hướng về màn hình danh sách.
- Cột Phạm vi áp dụng hiển thị ""n Tỉnh/thành phố"". Trong đó n là số lượng tỉnh được chọn ",,,,
CTKM_9,Chọn phạm vi áp dụng cấp Bưu điện xã,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
1. Nhấn ""Thêm mới chương trình""
2. Nhập tên chương trình chưa tồn tại
3. Nhập ngày bắt đầu hợp lệ: Hôm nay
4. Tích checkbox ""Không cài đặt ngày kết thúc""
5. Tích checkbox ""Không cài đặt khung giờ""
8. Chọn phân loại khuyến mãi
9. Khai báo phân loại hợp lệ
10. Tại tab Phạm vi áp dụng, chọn Áp dụng cho ""Bưu điện xã"".
11. Nhấn vào một tỉnh (VD: Bắc Kạn)
12. Chọn các xã trong tỉnh
13. Nhấn ""Lưu""",,Thêm mới CTKM/Tab Phạm vi áp dụng,"- Toast/thông báo thành công xuất hiện.
- Hệ thống lưu thành công, điều hướng về màn hình danh sách.
- Cột Phạm vi áp dụng hiển thị ""n Xã/phường"". Trong đó n là số lượng xã được chọn ",,,,
CTKM_10,Chọn phạm vi áp dụng cấp Điểm bán,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
1. Nhấn ""Thêm mới chương trình""
2. Nhập tên chương trình chưa tồn tại
3. Nhập ngày bắt đầu hợp lệ: Hôm nay
4. Tích checkbox ""Không cài đặt ngày kết thúc""
5. Tích checkbox ""Không cài đặt khung giờ""
8. Chọn phân loại khuyến mãi
9. Khai báo phân loại hợp lệ
10. Tại tab Phạm vi áp dụng, chọn Áp dụng cho ""Bưu điện xã"".
11. Nhấn vào một tỉnh (VD: Bắc Kạn)
12. Nhấn vào một xã
13. Chọn vài điểm bán trong xã
14. Nhấn ""Lưu""",Trung bình,Thêm mới CTKM/Tab Phạm vi áp dụng,"- Toast/thông báo thành công xuất hiện.
- Hệ thống lưu thành công, điều hướng về màn hình danh sách.
- Cột Phạm vi áp dụng hiển thị ""n điểm bán"". Trong đó n là số lượng điểm bán đã được chọn ",,,,
,Kiểm tra chức năng Tạo CTKM — Exception / Validation Cases,,,,,,,,,
CTKM_11,Lưu CTKM khi bỏ trống các trường bắt buộc,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
1. Nhấn ""Thêm mới chương trình""
2. Bỏ trống trường bắt buộc
3. Điền đầy đủ các trường bắt buộc còn lại.
4. Nhấn ""Lưu"".",Cao,Thêm mới CTKM,"- Hệ thống hiển thị message ""Vui lòng kiểm tra lại thông tin""
- Không lưu được CTKM.
- Focus đỏ và hiển thị message tại các trường bị lỗi.","- Hệ thống hiển thị message ""Vui lòng kiểm tra lại thông tin""
- Không lưu được CTKM.
- Focus đỏ và hiển thị message tại các trường bị lỗi.",Pass,,
CTKM_12,Lưu CTKM khi tên trùng với chương trình đã tồn tại,"Đã đăng nhập với vai trò Admin
Đã có ít nhất 1 CTKM trong hệ thống.","1. Vào Menu > Khuyến mãi > Danh sách chương trình
1. Nhấn ""Thêm mới chương trình""
2. Nhập tên CTKM đã tồn tại trong hệ thống
3. Nhập ngày bắt đầu hợp lệ: Hôm nay
4. Tích checkbox ""Không cài đặt ngày kết thúc""
5. Tích checkbox ""Không cài đặt khung giờ""
8. Chọn phân loại khuyến mãi
9. Khai báo phân loại hợp lệ
10. Chọn ít nhất một phạm vi áp dụng
14. Nhấn ""Lưu""",Cao,Thêm mới CTKM,"- Hệ thống hiển thị thông báo lỗi: Tên chương trình đã tồn tại.
- Không lưu được CTKM.","- Hệ thống hiển thị thông báo lỗi: Tên chương trình đã tồn tại.
- Không lưu được CTKM.",Pass,,
CTKM_13,Lưu CTKM khi ngày kết thúc trước ngày bắt đầu,"Đã đăng nhập với vai trò Admin
Ở màn hình Thêm mới CTKM, checkbox ""Không cài đặt ngày kết thúc"" inactive.","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Nhập tên CTKM chưa tồn tại trong hệ thống
4. Nhập ngày bắt đầu: 20/06/2026.
5. Nhập ngày kết thúc: 10/06/2026 (trước ngày bắt đầu)
6. Tích checkbox ""Không cài đặt khung giờ""
7. Chọn phân loại khuyến mãi
8. Khai báo phân loại hợp lệ
9. Chọn ít nhất một phạm vi áp dụng
10. Nhấn ""Lưu""",Cao,Thêm mới CTKM,"- Hệ thống hiển thị message lỗi tại 2 trường Ngày bắt đầu và Ngày kết thúc
- Hiển thị toast message Vui lòng kiểm tra lại thông tin
- Không lưu được CTKM.",Hệ thống chỉ hiển thị message lỗi tại trường Ngày kết thúc. Sau khi ấn lưu mới hiển thị message ở cả 2 trường,Fail,Đức Anh,
