CTKM_22,Khai báo giảm giá bán theo combo cụ thể (giảm VND),"Đã đăng nhập với vai trò Admin
Đã có combo trong hệ thống","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Giảm giá bán
7. Tại Điều kiện 1: Mua từ 2 - chọn loại ""Combo sản phẩm"" - chọn combo A.
8.Ô ""Được giảm giá mỗi SP"" chọn VND và nhập 10,000.
9. Nhấn ""Lưu""",Cao,Phân loại KM – Giảm giá bán,"1. Hiển thị toast messge ""Thêm mới chương trình thành công""
2. Ghi nhận 1 bản ghi ngoài danh sách với cột phân loại là Sản phẩm
3. Mua combo số lượng từ 2 trở lên được giảm 10k cho mỗi sản phẩm",Bug màn POS,Fail,,
CTKM_23,Khai báo giảm giá bán theo combo cụ thể (giảm %),"Đã đăng nhập với vai trò Admin
Đã có combo trong hệ thống","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Giảm giá bán
7.  Điều kiện 1: Mua từ 3 - chọn loại ""Combo sản phẩm"" - chọn combo B.
8. Ô ""Được giảm giá mỗi SP"" chọn % và nhập 2
9. Nhấn ""Lưu"".",Cao,Phân loại KM – Giảm giá bán,"1. Hiển thị toast messge ""Thêm mới chương trình thành công""
2. Ghi nhận 1 bản ghi ngoài danh sách với cột phân loại là Sản phẩm
3. Mua combo số lượng từ 3 trở lên được giảm 2% cho mỗi sản phẩm",Bug màn POS,Fail,,
,Sản phẩm trong danh mục,,,,,,,,,
CTKM_24,Khai báo giảm giá bán theo sản phẩm trong danh mục sản phẩm,"Đã đăng nhập với vai trò Admin
Đã có danh mục sản phẩm trong hệ thống.","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Giảm giá bán
7. Điều kiện 1: Mua từ 2 - click chọn dropdown loại = ""Sản phẩm trong danh mục"".
8. Dropdown list chọn danh mục mặc định giá trị ""Danh mục sản phẩm"". Chọn 1 danh mục
9. Nhập mức giảm giá mỗi SP = 5,000 VND.
10. Nhấn ""Lưu"".",Cao,Phân loại KM – Giảm giá bán,"1. Hiển thị toast messge ""Thêm mới chương trình thành công""
2. Ghi nhận 1 bản ghi ngoài danh sách với cột phân loại là Danh mục
3. Khi khách hàng mua bất kỳ sản phẩm nào thuộc danh mục được chọn (nếu danh mục đó là cấp nhỏ nhất trong cây danh mục) hoặc mua sản phẩm trong danh mục con cấp nhỏ nhất của danh mục được chọn (nếu danh mục đó là cấp cha) với tổng số lượng đạt từ 2 trở lên, mỗi sản phẩm đó được giảm 5,000đ.",,Pass,,
CTKM_25,Khai báo giảm giá bán theo combo trong danh mục combo,"Đã đăng nhập với vai trò Admin
Đã có danh mục combo trong hệ thống.","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Giảm giá bán 
7. Điều kiện 1: Mua từ 2 - click chọn dropdown loại = ""Sản phẩm trong danh mục"".
8. Dropdown list chọn danh mục mặc định giá trị ""Danh mục sản phẩm"". Đổi thành giá trị ""Danh mục combo"" và chọn 1 danh mục
9. Nhập mức giảm giá mỗi SP = 5,000 VND.
10. Nhấn ""Lưu"".",,Phân loại KM – Giảm giá bán,"1. Hiển thị toast messge ""Thêm mới chương trình thành công""
2. Ghi nhận 1 bản ghi ngoài danh sách với cột phân loại là Danh mục
3. Khi khách hàng mua bất kỳ combo nào thuộc danh mục được chọn (nếu danh mục đó là cấp nhỏ nhất trong cây danh mục) hoặc mua combo trong danh mục con cấp nhỏ nhất của danh mục được chọn (nếu danh mục đó là cấp cha) với tổng số lượng đạt từ 2 trở lên, mỗi sản phẩm đó được giảm 5,000đ.",,,,
,Kiểm tra chức năng Tạo CTKM Phân loại theo sản phẩm — Tặng kèm sản phẩm khác,,,,,,,,,
,Sản phẩm/Combo,,,,,,,,,
CTKM_26,Tạo KM sản phẩm tặng kèm quà tặng (Cố định),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
7. Điều kiện 1: Mua từ 2 sản phẩm A.
8. Chọn Được tặng kèm = ""Sản phẩm"".
9. Trong bảng ""Danh sách sản phẩm tặng kèm"", thêm sản phẩm B, số lượng = 1.
10. Không tích ""Số lượng sản phẩm giảm giá nhân theo số lượng sản phẩm mua"".
11. Nhấn ""Lưu""",,,"Lưu thành công. Khi mua 2 hay nhiều sản phẩm A (ví dụ mua 4), khách hàng chỉ nhận được cố định 1 quà tặng B.",,,,
CTKM_27,Tạo KM sản phẩm tặng kèm quà tặng (Nhân số lượng quà),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
7. Điều kiện 1: Mua từ 2 sản phẩm A.
8. Chọn Được tặng kèm = ""Sản phẩm"".
9. Trong bảng ""Danh sách sản phẩm tặng kèm"", thêm sản phẩm quà tặng B, số lượng = 1.
10. Tích ""Số lượng sản phẩm giảm giá nhân theo số lượng sản phẩm mua"".
11. Nhấn ""Lưu""",,,"Lưu thành công. Khi khách mua 4 sản phẩm A, hệ thống sẽ nhân số lượng quà tặng B tương ứng lên thành 2 quà tặng B.",,,,
CTKM_28,Tạo KM sản phẩm tặng kèm sản phẩm trong danh mục (Không số lượng quà),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
7. Điều kiện 1: Mua từ 2 sản phẩm A.
8. Chọn Được tặng kèm = ""Sản phẩm trong danh mục"".
9. Trong bảng Danh sách sản phẩm tặng kèm, mặc định giá trị ""Danh mục sản phẩm"". Thêm 1 danh mục, số lượng = 2.
10. Không tích ""Số lượng sản phẩm giảm giá nhân theo số lượng sản phẩm mua"".
11. Nhấn ""Lưu""",,,"Lưu thành công. Khi mua 2 hay nhiều sản phẩm A (ví dụ mua 4), khách hàng chỉ nhận được cố định tổng 2 sản phẩm thuộc tất cả danh mục cấp nhỏ nhất của danh mục đã chọn",,,,
CTKM_29,Tạo KM sản phẩm tặng kèm sản phẩm trong danh mục (Nhân số lượng quà),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
1. Điều kiện 1: Mua từ 2 combo A.
2. Chọn Được tặng kèm = ""Sản phẩm trong danh mục"".
9. Trong bảng Danh sách sản phẩm tặng kèm, mặc định giá trị ""Danh mục sản phẩm"". Đổi thành giá trị ""Danh mục combo"" và thêm 1 danh mục, số lượng = 2.
4. Tích ""Số lượng sản phẩm giảm giá nhân theo số lượng sản phẩm mua"".
5. Nhấn ""Lưu""",,,"Lưu thành công. Khi khách mua 4 sản phẩm A, hệ thống sẽ nhân tổng số lượng tương ứng lên thành 4 sản phẩm được tặng (sản phẩm thuộc tất cả các danh mục cấp nhỏ nhất của danh mục đã chọn)",,,,
CTKM_30,Tặng kèm theo danh mục — chọn danh mục cấp con rồi chọn danh mục cấp cha,"Đã đăng nhập với vai trò Admin
Đã có cấu trúc danh mục: Thực phẩm > Đồ uống > Nước giải khát.","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
7. Phần ""Được tặng kèm"": chọn ""Sản phẩm trong danh mục"".
8. Thêm danh mục ""Nước giải khát"" (cấp con) vào bảng.
9. Tiếp tục thêm danh mục ""Đồ uống"" (cấp cha chứa Nước giải khát).",Trung bình,Phân loại KM – Tặng kèm,"- Sau bước 3: hệ thống tự động thay thế ""Nước giải khát"" bằng ""Đồ uống"".
- Bảng chỉ còn ""Đồ uống"", không có ""Nước giải khát"" riêng lẻ.",,,,
CTKM_31,Tặng kèm theo danh mục — chọn cấp cha trước rồi chọn cấp con,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
7. Phần ""Được tặng kèm"": chọn ""Sản phẩm trong danh mục"".
8. Thêm danh mục ""Đồ uống"" (cấp con) vào bảng.
2. Thêm tiếp danh mục ""Nước giải khát"" (cấp con thuộc Đồ uống).",Trung bình,Phân loại KM – Tặng kèm,"- Hệ thống hiển thị thông báo: ""Đã có danh mục sản phẩm cấp lớn hơn"".
- Không thêm danh mục con vào bảng.",,,,
CTKM_32,Exception: Thêm trùng sản phẩm vào bảng quà tặng,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
7. Thêm SP A vào bảng quà tặng.
8. Thêm lại SP A vào bảng
9. Quan sát thông báo.",Cao,Phân loại KM – Tặng kèm,"- Hệ thống hiển thị thông báo: ""Sản phẩm đã có trong bảng"".
- Không thêm trùng vào bảng.",,Pass,,
CTKM_33,Exception: Thêm trùng danh mục vào bảng quà tặng,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
7. Phần ""Được tặng kèm"": chọn ""Sản phẩm trong danh mục"".
8. Thêm danh mục ""Nước giải khát"" vào bảng.
9. Thêm lại danh mục ""Nước giải khát"" vào bảng.
10. Quan sát thông báo.",Cao,Phân loại KM – Tặng kèm,"- Hệ thống hiển thị thông báo: ""Trùng danh mục sản phẩm"".
- Không thêm trùng vào bảng.",,Pass,,
,Danh mục sản phẩm,,,,,,,,,
CTKM_34,Tạo KM mua sản phẩm thuộc danh mục tặng kèm quà tặng theo Danh mục,Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Tặng kèm sản phẩm khác
7. Điều kiện 1: Mua từ 10 sản phẩm trong danh mục ""DM_A_1"".
8. Chọn Được tặng kèm = ""Sản phẩm trong danh mục"".
9. Bảng ""Danh sách sản phẩm tặng kèm"", chọn danh mục ""DM_B_1"", số lượng = 3.
10. Nhấn ""Lưu"".",,,Lưu thành công. Khách mua từ 3 sản phẩm trong danh mục DM_A_1 sẽ được tặng 3 sản phẩm bất kỳ nằm trong danh mục DM_B_1 (nếu là cấp nhỏ nhất) hoặc trong danh mục con cấp nhỏ nhất của DM_B_1 (nếu là cấp cha)        ,,,,
,Kiểm tra chức năng Tạo CTKM Phân loại theo sản phẩm — Được mua sản phẩm bất kỳ giá thấp,,,,,,,,,
,Sản phẩm/combo,,,,,,,,,
CTKM_35,Khai báo được mua SP bất kỳ giá thấp(không nhân theo số lượng),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Được mua sản phẩm bất kỳ giá thấp
7. Điều kiện 1: Mua từ 1 sản phẩm chính A.
8. Được mua = ""Sản phẩm bất kỳ giá thấp"".
9. Bảng ""Danh sách sản phẩm khác được mua kèm
"", chọn sản phẩm phụ B, mức giảm giá = 20,000 VND.
10. Nhấn ""Lưu"".",,,"Lưu thành công. Khi giỏ hàng có sản phẩm A và áp dụng CTKM, tự fill sản phẩm B với mức giá giảm 20,000đ.",,,,
CTKM_36,Khai báo được mua SP bất kỳ giá thấp (nhân theo số lượng),Đã đăng nhập với vai trò Admin,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Được mua sản phẩm bất kỳ giá thấp
7. Điều kiện 1: Mua từ 2 sản phẩm chính A.
8. Được mua = ""Sản phẩm bất kỳ giá thấp""
9. Tích checkbox ""Số lượng sản phẩm giảm giá nhân theo số lượng sản phẩm mua"".
10. Bảng ""Danh sách sản phẩm khác được mua kèm"", chọn sản phẩm phụ B, mức giảm giá = 20,000 VND.
11. Nhấn ""Lưu"".",,,"Lưu thành công. Khách mua từ 2 sản phẩm A, tự động áp dụng CTKM và fill sản phẩm B với mức giá giảm giá 20,000đ
Mua 4 SP A = 2 lần đạt điều kiện → được mua 2 SP B giảm giá.",,,,
,Danh mục sản phẩm,,,,,,,,,
CTKM_37,Tạo KM mua sản phẩm danh mục được mua kèm sản phẩm thuộc danh mục khác giá thấp,Đã đăng nhập với vai trò Admin.,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo sản phẩm
6. Chọn hình thức khuyến mại: Được mua sản phẩm bất kỳ giá thấp
7. Điều kiện 1: Mua từ 6 sản phẩm danh mục ""DM_A_1"".
8. Được mua = ""Sản phẩm bất kỳ trong danh mục giá thấp"".
9. Bảng :Danh sách sản phẩm khác được mua kèm"", chọn danh mục mua kèm ""DM_B_1"", chọn mức giảm giá = 4,000đ
10. Nhấn ""Lưu"".",,,"Lưu thành công. Khách mua từ 6 sản phẩm trong danh mục DM_A_1 sẽ được giảm giá 4,000đ cho 1 sản phẩm thuộc danh mục DM_B_1 hoặc cấp con nhỏ nhất (nếu danh mục được chọn là cấp cha)",,,,
,Kiểm tra chức năng Tạo CTKM Phân loại theo đơn hàng,,,,,,,,,
CTKM_38,Khai báo KM theo đơn hàng — giảm theo % hóa đơn,"Đã đăng nhập với vai trò Admin.
","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo đơn hàng
6. Chọn hình thức Theo % hóa đơn
7. Nhập tỷ lệ: 10%.
8. Không tích checkbox ""Tính trên giá trị sau KM khác"".
9. Không tích checkbox ""Áp dụng quà tặng"".
10. Nhấn Lưu",Cao,Phân loại KM – Theo đơn hàng,"Khai báo thành công và ghi nhận 1 bản ghi ngoài danh sách, cột Phân loại CTKM hiển thị Theo hóa đơn
",,Pass,,
CTKM_39,Validate giá trị giảm % vượt quá 100%,"Đã đăng nhập với vai trò Admin.
","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Chọn phân loại khuyến mại: Theo đơn hàng
4. Chọn đơn vị giảm giá = ""Theo % hóa đơn"".
5. Nhập giá trị giảm giá = 105.",,,Hệ thống giới hạn giá trị nhập tối đa là 100 hoặc báo lỗi không cho phép lưu.,,Pass,,
CTKM_40,Khai báo KM theo đơn hàng — giảm theo số tiền cố định,"Đã đăng nhập với vai trò Admin.
","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo đơn hàng
6. Chọn Theo số tiền số định
7. Nhập số tiền: 50k.
8. Không tích checkbox ""Tính trên giá trị sau KM khác"".
9. Không tích checkbox ""Áp dụng quà tặng"".
10. Nhấn Lưu",Cao,Phân loại KM – Theo đơn hàng,"Khai báo thành công và ghi nhận 1 bản ghi ngoài danh sách, cột Phân loại CTKM hiển thị Theo hóa đơn
",,Pass,,
CTKM_41,"KM theo đơn hàng — bật checkbox ""Tính trên giá trị đơn hàng sau khuyến mãi khác""","Đã đăng nhập với vai trò Admin.
Đã có CTKM khác đang áp dụng cho cùng đơn.","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo đơn hàng
6. Chọn Theo %
7. Nhập %: 5
8. Tích checkbox ""Tính trên giá trị sau KM khác""
9. Không tích checkbox ""Áp dụng quà tặng""
10. Nhấn Lưu
11. Kiểm tra giá trị giảm của CTKM này.",Cao,Phân loại KM – Theo đơn hàng,Lưu thành công. Hệ thống tính % giảm giá đơn hàng dựa trên tổng tiền sau khi trừ các KM dòng sản phẩm trước đó.,,Pass,,
CTKM_42,"KM theo đơn hàng — bật ""Áp dụng quà tặng"" và khai báo quà",Đã đăng nhập với vai trò Admin.,"1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ít nhất 1 phạm vi áp dụng
5. Chọn phân loại khuyến mại: Theo đơn hàng
6. Chọn Theo số tiền số định
7. Nhập số tiền: 50k.
8. Tích checkbox ""Áp dụng quà tặng"".
9. Quan sát phần khai báo quà tặng hiện ra.
10. Thêm SP quà và combo vào danh sách.
11. Nhấn ""Lưu"".",Trung bình,Phân loại KM – Theo đơn hàng,"- Sau khi tích: hiển thị thêm phần khai báo quà tặng (SP/combo).
- Khai báo thành công.
- Đơn hàng đủ điều kiện được nhận quà tặng đã cấu hình.",,Pass,,
CTKM_43,Cấu hình tự động xác định nhóm KH realtime - TOÀN BỘ ĐƠN,"Đã đăng nhập với vai trò Admin.
Đã chọn ""Đối tượng áp dụng""","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ""Đối tượng áp dụng""
5. Chọn ít nhất 1 phạm vi áp dụng
6. Chọn phân loại khuyến mại: Theo đơn hàng
7. Chọn Theo số tiền số định
8. Nhập số tiền: 50k.
9. Check ""Hệ thống tự động xác định nhóm KH realtime"".
10. Chọn Mức tính giảm giá = ""Tính trên toàn bộ giá trị đơn hàng"".
11. Nhấn ""Lưu"".",,,Hệ thống lưu thành công. Khách hàng thăng hạng trong đơn hiện tại sẽ được áp KM trên toàn bộ đơn hàng.,,Pass,,
CTKM_44,Cấu hình tự động xác định nhóm KH realtime - PHẦN VƯỢT NGƯỠNG,"Đã đăng nhập với vai trò Admin.
Đã chọn ""Đối tượng áp dụng"" = Nhóm KH VIP.","1. Vào Menu > Khuyến mãi > Danh sách chương trình
2. Nhấn ""Thêm mới chương trình""
3. Khai báo các thông tin bắt buộc hợp lệ: Tên chương trình, Ngày bắt đầu, Ngày kết thúc, Giờ bắt đầu, Giờ kết thúc
4. Chọn ""Đối tượng áp dụng""
5. Chọn ít nhất 1 phạm vi áp dụng
6. Chọn phân loại khuyến mại: Theo đơn hàng
7. Chọn Theo số tiền số định
8. Nhập số tiền: 50k.
9. Tích checkbox ""Hệ thống tự động xác định nhóm KH realtime"".
10. Chọn Mức tính giảm giá = ""Chỉ tính trên phần giá trị vượt mốc điều kiện"".
11. Nhấn ""Lưu"".",,,Hệ thống lưu thành công. Khách hàng chỉ được giảm giá cho phần tiền vượt ngưỡng thăng hạng VIP.,,Fail,,
,Kiểm tra chức năng Xem danh sách và tìm kiếm CTKM,,,,,,,,,
CTKM_45,Thống kê đúng số lượng CTKM theo từng trạng thái,"Hệ thống có CTKM ở các trạng thái: Đang diễn ra (3), Đã kết thúc (2), Chưa diễn ra (1).","1. Truy cập màn hình Quản lý CTKM.
2. Quan sát phần thống kê.",Trung bình,Màn hình Quản lý CTKM,"- Hiển thị đúng: Đang diễn ra: 3, Đã kết thúc: 2, Chưa diễn ra: 1.
- Số liệu thống kê cập nhật tự động khi trạng thái CTKM thay đổi.",,,,
CTKM_46,Tìm kiếm CTKM theo mã chương trình,"Đã có CTKM mã ""CTKM2606100001"".","1. Nhập ""CTKM2606100001"" vào ô tìm kiếm.
2. Quan sát kết quả.",Trung bình,Màn hình Quản lý CTKM,"- Chỉ hiển thị CTKM có mã khớp.
- Tìm kiếm không phân biệt hoa/thường.",,,,
CTKM_47,Lọc CTKM theo trạng thái,Hệ thống có CTKM ở nhiều trạng thái khác nhau.,"1. Chọn bộ lọc Trạng thái: ""Đang diễn ra"".
2. Quan sát danh sách kết quả.",Trung bình,Màn hình Quản lý CTKM,"- Chỉ hiển thị các CTKM có trạng thái ""Đang diễn ra"".
- Không hiển thị CTKM ở trạng thái khác.",,,,
CTKM_48,Lọc CTKM theo khoảng thời gian,Hệ thống có nhiều CTKM với các khoảng thời gian khác nhau.,"1. Nhập khoảng thời gian lọc: 01/06/2026 – 30/06/2026.
2. Quan sát kết quả.",Trung bình,Màn hình Quản lý CTKM,"- Hiển thị tất cả CTKM có ít nhất 1 đoạn thời gian hiệu lực nằm trong khoảng 01-30/06/2026.
- CTKM hoàn toàn ngoài khoảng thời gian không hiển thị.",,,,
CTKM_49,Lọc CTKM theo Loại khuyến mại,"Hệ thống có CTKM ở nhiều Loại khuyến mại khác nhau:
- Đơn hàng
- Sản phẩm
- Danh mục","1. Chọn bộ lọc Loại khuyến mại: ""Đơn hàng""
2. Quan sát danh sách kết quả",TB,Màn hình Quản lý CTKM,"Chỉ hiển thị các CTKM có Loại khuyến mại: ""Đơn hàng
",Hiển thị full danh sách,Fail,Vũ Phạm,
CTKM_50,Tìm kiếm không có kết quả,Không có CTKM nào khớp với từ khóa tìm kiếm.,"1. Nhập từ khóa: ""CTKM_KHONG_TON_TAI_XYZ"".
2. Quan sát kết quả.",Thấp,Màn hình Quản lý CTKM,"- Hiển thị thông báo ""Không tìm thấy kết quả"" hoặc danh sách trống.
- Không có lỗi hệ thống.",,,,
,Kiểm tra chức năng Sửa CTKM,,,,,,,,,
CTKM_51,Sửa CTKM chưa phát sinh giao dịch — sửa được toàn bộ,"CTKM chưa có giao dịch nào, trạng thái ""Chưa diễn ra"".","1. Nhấn nút sửa ở row CTKM cần chỉnh sửa.
2. Cập nhật tên chương trình.
3. Cập nhật ngày kết thúc.
4. Cập nhật phần Phân loại khuyến mãi.
5. Nhấn ""Xác nhận"".",Cao,Màn hình Cập nhật CTKM,"- Cho phép sửa tất cả trường bao gồm Phân loại khuyến mãi.
- Lưu thành công, dữ liệu cập nhật đúng.
- Hiển thị thông báo thành công.",,,,
CTKM_52,Sửa CTKM đã phát sinh giao dịch — không sửa được Phân loại khuyến mãi,CTKM đã có ít nhất 1 giao dịch.,"1. Nhấn nút sửa ở row CTKM đã có giao dịch.
2. Quan sát phần Phân loại khuyến mãi.
3. Thử chỉnh sửa phần Phân loại khuyến mãi.",Cao,Màn hình Cập nhật CTKM,"- Phần ""Phân loại khuyến mãi"" hiển thị disabled/readonly.
- Không thể thay đổi phân loại khuyến mãi.
- Vẫn sửa được các thông tin khác (tên, mô tả, thời gian, phạm vi).",,,,
CTKM_53,Exception: Sửa CTKM — đổi tên trùng với CTKM đã tồn tại,"CTKM ""Khuyến mãi tháng 7"" đã tồn tại.","1. Mở màn hình sửa một CTKM khác.
2. Đổi tên thành ""Khuyến mãi tháng 7"".
3. Nhấn ""Xác nhận"".",Cao,Màn hình Cập nhật CTKM,"- Hệ thống hiển thị lỗi: tên chương trình đã tồn tại.
- Không lưu được thay đổi.",,,,
